Disease (MeSH Tree),Disease (MeSH Tree).1,Relationship
MeSH_Tree_Disease:C08.381.483.652.500,MeSH_Tree_Disease:C08.381.483.652,-subclass_of->
MeSH_Tree_Disease:C08.381.483.652.500.500,MeSH_Tree_Disease:C08.381.483.652.500,-subclass_of->
MeSH_Tree_Disease:C08.381.483.652.500.750,MeSH_Tree_Disease:C08.381.483.652.500,-subclass_of->
MeSH_Tree_Disease:C08.381.483.652.500.750.249,MeSH_Tree_Disease:C08.381.483.652.500.750,-subclass_of->
MeSH_Tree_Disease:C08.381.483.675,MeSH_Tree_Disease:C08.381.483,-subclass_of->
MeSH_Tree_Disease:C08.381.483.725,MeSH_Tree_Disease:C08.381.483,-subclass_of->
MeSH_Tree_Disease:C08.381.483.950,MeSH_Tree_Disease:C08.381.483,-subclass_of->
MeSH_Tree_Disease:C08.381.495,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.495.108,MeSH_Tree_Disease:C08.381.495,-subclass_of->
MeSH_Tree_Disease:C08.381.495.108.500,MeSH_Tree_Disease:C08.381.495.108,-subclass_of->
MeSH_Tree_Disease:C08.381.495.146,MeSH_Tree_Disease:C08.381.495,-subclass_of->
MeSH_Tree_Disease:C08.381.495.146.135,MeSH_Tree_Disease:C08.381.495.146,-subclass_of->
MeSH_Tree_Disease:C08.381.495.146.135.140,MeSH_Tree_Disease:C08.381.495.146.135,-subclass_of->
MeSH_Tree_Disease:C08.381.495.146.135.140.600,MeSH_Tree_Disease:C08.381.495.146.135.140,-subclass_of->
MeSH_Tree_Disease:C08.381.495.146.135.140.600.500,MeSH_Tree_Disease:C08.381.495.146.135.140.600,-subclass_of->
MeSH_Tree_Disease:C08.381.495.146.135.140.600.750,MeSH_Tree_Disease:C08.381.495.146.135.140.600,-subclass_of->
MeSH_Tree_Disease:C08.381.495.146.135.321,MeSH_Tree_Disease:C08.381.495.146.135,-subclass_of->
MeSH_Tree_Disease:C08.381.495.146.567,MeSH_Tree_Disease:C08.381.495.146,-subclass_of->
MeSH_Tree_Disease:C08.381.495.389,MeSH_Tree_Disease:C08.381.495,-subclass_of->
MeSH_Tree_Disease:C08.381.495.389.250,MeSH_Tree_Disease:C08.381.495.389,-subclass_of->
MeSH_Tree_Disease:C08.381.495.389.500,MeSH_Tree_Disease:C08.381.495.389,-subclass_of->
MeSH_Tree_Disease:C08.381.495.389.750,MeSH_Tree_Disease:C08.381.495.389,-subclass_of->
MeSH_Tree_Disease:C08.381.517,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.517.314,MeSH_Tree_Disease:C08.381.517,-subclass_of->
MeSH_Tree_Disease:C08.381.520,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.520.500,MeSH_Tree_Disease:C08.381.520,-subclass_of->
MeSH_Tree_Disease:C08.381.520.500.500,MeSH_Tree_Disease:C08.381.520.500,-subclass_of->
MeSH_Tree_Disease:C08.381.520.687,MeSH_Tree_Disease:C08.381.520,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702,MeSH_Tree_Disease:C08.381.520,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.062,MeSH_Tree_Disease:C08.381.520.702,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.062.500,MeSH_Tree_Disease:C08.381.520.702.062,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.125,MeSH_Tree_Disease:C08.381.520.702,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.225,MeSH_Tree_Disease:C08.381.520.702,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.275,MeSH_Tree_Disease:C08.381.520.702,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.300,MeSH_Tree_Disease:C08.381.520.702,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.750,MeSH_Tree_Disease:C08.381.520.702,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.760,MeSH_Tree_Disease:C08.381.520.702,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.760.125,MeSH_Tree_Disease:C08.381.520.702.760,-subclass_of->
MeSH_Tree_Disease:C08.381.520.702.760.750,MeSH_Tree_Disease:C08.381.520.702.760,-subclass_of->
MeSH_Tree_Disease:C08.381.520.734,MeSH_Tree_Disease:C08.381.520,-subclass_of->
MeSH_Tree_Disease:C08.381.520.750,MeSH_Tree_Disease:C08.381.520,-subclass_of->
MeSH_Tree_Disease:C08.381.520.750.500,MeSH_Tree_Disease:C08.381.520.750,-subclass_of->
MeSH_Tree_Disease:C08.381.540,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.540.140,MeSH_Tree_Disease:C08.381.540,-subclass_of->
MeSH_Tree_Disease:C08.381.540.140.500,MeSH_Tree_Disease:C08.381.540.140,-subclass_of->
MeSH_Tree_Disease:C08.381.540.140.750,MeSH_Tree_Disease:C08.381.540.140,-subclass_of->
MeSH_Tree_Disease:C08.381.540.144,MeSH_Tree_Disease:C08.381.540,-subclass_of->
MeSH_Tree_Disease:C08.381.540.148,MeSH_Tree_Disease:C08.381.540,-subclass_of->
MeSH_Tree_Disease:C08.381.540.734,MeSH_Tree_Disease:C08.381.540,-subclass_of->
MeSH_Tree_Disease:C08.381.540.867,MeSH_Tree_Disease:C08.381.540,-subclass_of->
MeSH_Tree_Disease:C08.381.570,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.600,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.677,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.677.127,MeSH_Tree_Disease:C08.381.677,-subclass_of->
MeSH_Tree_Disease:C08.381.677.300,MeSH_Tree_Disease:C08.381.677,-subclass_of->
MeSH_Tree_Disease:C08.381.677.300.500,MeSH_Tree_Disease:C08.381.677.300,-subclass_of->
MeSH_Tree_Disease:C08.381.677.473,MeSH_Tree_Disease:C08.381.677,-subclass_of->
MeSH_Tree_Disease:C08.381.677.529,MeSH_Tree_Disease:C08.381.677,-subclass_of->
MeSH_Tree_Disease:C08.381.677.529.612,MeSH_Tree_Disease:C08.381.677.529,-subclass_of->
MeSH_Tree_Disease:C08.381.677.540,MeSH_Tree_Disease:C08.381.677,-subclass_of->
MeSH_Tree_Disease:C08.381.677.540.249,MeSH_Tree_Disease:C08.381.677.540,-subclass_of->
MeSH_Tree_Disease:C08.381.677.540.300,MeSH_Tree_Disease:C08.381.677.540,-subclass_of->
MeSH_Tree_Disease:C08.381.677.540.400,MeSH_Tree_Disease:C08.381.677.540,-subclass_of->
MeSH_Tree_Disease:C08.381.677.540.500,MeSH_Tree_Disease:C08.381.677.540,-subclass_of->
MeSH_Tree_Disease:C08.381.677.540.550,MeSH_Tree_Disease:C08.381.677.540,-subclass_of->
MeSH_Tree_Disease:C08.381.677.540.600,MeSH_Tree_Disease:C08.381.677.540,-subclass_of->
MeSH_Tree_Disease:C08.381.677.540.620,MeSH_Tree_Disease:C08.381.677.540,-subclass_of->
MeSH_Tree_Disease:C08.381.677.608,MeSH_Tree_Disease:C08.381.677,-subclass_of->
MeSH_Tree_Disease:C08.381.677.675,MeSH_Tree_Disease:C08.381.677,-subclass_of->
MeSH_Tree_Disease:C08.381.677.807,MeSH_Tree_Disease:C08.381.677,-subclass_of->
MeSH_Tree_Disease:C08.381.677.807.500,MeSH_Tree_Disease:C08.381.677.807,-subclass_of->
MeSH_Tree_Disease:C08.381.677.807.500.500,MeSH_Tree_Disease:C08.381.677.807.500,-subclass_of->
MeSH_Tree_Disease:C08.381.719,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.730,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.730.542,MeSH_Tree_Disease:C08.381.730,-subclass_of->
MeSH_Tree_Disease:C08.381.742,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.746,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.746.500,MeSH_Tree_Disease:C08.381.746,-subclass_of->
MeSH_Tree_Disease:C08.381.750,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.780,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.840,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.840.500,MeSH_Tree_Disease:C08.381.840,-subclass_of->
MeSH_Tree_Disease:C08.381.840.500.475,MeSH_Tree_Disease:C08.381.840.500,-subclass_of->
MeSH_Tree_Disease:C08.381.840.500.737,MeSH_Tree_Disease:C08.381.840.500,-subclass_of->
MeSH_Tree_Disease:C08.381.844,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.884,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.922,MeSH_Tree_Disease:C08.381,-subclass_of->
MeSH_Tree_Disease:C08.381.922.669,MeSH_Tree_Disease:C08.381.922,-subclass_of->
MeSH_Tree_Disease:C08.460,MeSH_Tree_Disease:C08,-subclass_of->
MeSH_Tree_Disease:C08.460.171,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.261,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.393,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.525,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.572,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.595,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.619,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.669,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.669.693,MeSH_Tree_Disease:C08.460.669,-subclass_of->
MeSH_Tree_Disease:C08.460.669.693.575,MeSH_Tree_Disease:C08.460.669.693,-subclass_of->
MeSH_Tree_Disease:C08.460.692,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.692.503,MeSH_Tree_Disease:C08.460.692,-subclass_of->
MeSH_Tree_Disease:C08.460.692.503.503,MeSH_Tree_Disease:C08.460.692.503,-subclass_of->
MeSH_Tree_Disease:C08.460.692.752,MeSH_Tree_Disease:C08.460.692,-subclass_of->
MeSH_Tree_Disease:C08.460.692.752.134,MeSH_Tree_Disease:C08.460.692.752,-subclass_of->
MeSH_Tree_Disease:C08.460.692.752.267,MeSH_Tree_Disease:C08.460.692.752,-subclass_of->
MeSH_Tree_Disease:C08.460.692.752.387,MeSH_Tree_Disease:C08.460.692.752,-subclass_of->
MeSH_Tree_Disease:C08.460.692.752.578,MeSH_Tree_Disease:C08.460.692.752,-subclass_of->
MeSH_Tree_Disease:C08.460.692.752.827,MeSH_Tree_Disease:C08.460.692.752,-subclass_of->
MeSH_Tree_Disease:C08.460.799,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.460.799.315,MeSH_Tree_Disease:C08.460.799,-subclass_of->
MeSH_Tree_Disease:C08.460.799.315.500,MeSH_Tree_Disease:C08.460.799.315,-subclass_of->
MeSH_Tree_Disease:C08.460.799.315.500.500,MeSH_Tree_Disease:C08.460.799.315.500,-subclass_of->
MeSH_Tree_Disease:C08.460.799.315.750,MeSH_Tree_Disease:C08.460.799.315,-subclass_of->
MeSH_Tree_Disease:C08.460.799.649,MeSH_Tree_Disease:C08.460.799,-subclass_of->
MeSH_Tree_Disease:C08.460.799.910,MeSH_Tree_Disease:C08.460.799,-subclass_of->
MeSH_Tree_Disease:C08.460.850,MeSH_Tree_Disease:C08.460,-subclass_of->
MeSH_Tree_Disease:C08.528,MeSH_Tree_Disease:C08,-subclass_of->
MeSH_Tree_Disease:C08.528.142,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.240,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.240.320,MeSH_Tree_Disease:C08.528.240,-subclass_of->
MeSH_Tree_Disease:C08.528.338,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.380,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.434,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.476,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.652,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.652.700,MeSH_Tree_Disease:C08.528.652,-subclass_of->
MeSH_Tree_Disease:C08.528.694,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.694.700,MeSH_Tree_Disease:C08.528.694,-subclass_of->
MeSH_Tree_Disease:C08.528.735,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.735.473,MeSH_Tree_Disease:C08.528.735,-subclass_of->
MeSH_Tree_Disease:C08.528.778,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.928,MeSH_Tree_Disease:C08.528,-subclass_of->
MeSH_Tree_Disease:C08.528.928.405,MeSH_Tree_Disease:C08.528.928,-subclass_of->
MeSH_Tree_Disease:C08.618,MeSH_Tree_Disease:C08,-subclass_of->
MeSH_Tree_Disease:C08.618.009,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.020,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.085,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.085.852,MeSH_Tree_Disease:C08.618.085,-subclass_of->
MeSH_Tree_Disease:C08.618.085.852.800,MeSH_Tree_Disease:C08.618.085.852,-subclass_of->
MeSH_Tree_Disease:C08.618.085.852.850,MeSH_Tree_Disease:C08.618.085.852,-subclass_of->
MeSH_Tree_Disease:C08.618.085.852.850.500,MeSH_Tree_Disease:C08.618.085.852.850,-subclass_of->
MeSH_Tree_Disease:C08.618.182,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.248,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.326,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.326.396,MeSH_Tree_Disease:C08.618.326,-subclass_of->
MeSH_Tree_Disease:C08.618.326.698,MeSH_Tree_Disease:C08.618.326,-subclass_of->
MeSH_Tree_Disease:C08.618.490,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.490.500,MeSH_Tree_Disease:C08.618.490,-subclass_of->
MeSH_Tree_Disease:C08.618.501,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.501.271,MeSH_Tree_Disease:C08.618.501,-subclass_of->
MeSH_Tree_Disease:C08.618.580,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.659,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.749,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.749.500,MeSH_Tree_Disease:C08.618.749,-subclass_of->
MeSH_Tree_Disease:C08.618.840,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.840.500,MeSH_Tree_Disease:C08.618.840,-subclass_of->
MeSH_Tree_Disease:C08.618.840.500.475,MeSH_Tree_Disease:C08.618.840.500,-subclass_of->
MeSH_Tree_Disease:C08.618.840.500.737,MeSH_Tree_Disease:C08.618.840.500,-subclass_of->
MeSH_Tree_Disease:C08.618.846,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.846.093,MeSH_Tree_Disease:C08.618.846,-subclass_of->
MeSH_Tree_Disease:C08.618.846.185,MeSH_Tree_Disease:C08.618.846,-subclass_of->
MeSH_Tree_Disease:C08.618.846.185.525,MeSH_Tree_Disease:C08.618.846.185,-subclass_of->
MeSH_Tree_Disease:C08.618.846.414,MeSH_Tree_Disease:C08.618.846,-subclass_of->
MeSH_Tree_Disease:C08.618.846.450,MeSH_Tree_Disease:C08.618.846,-subclass_of->
MeSH_Tree_Disease:C08.618.846.565,MeSH_Tree_Disease:C08.618.846,-subclass_of->
MeSH_Tree_Disease:C08.618.846.565.500,MeSH_Tree_Disease:C08.618.846.565,-subclass_of->
MeSH_Tree_Disease:C08.618.846.600,MeSH_Tree_Disease:C08.618.846,-subclass_of->
MeSH_Tree_Disease:C08.618.846.688,MeSH_Tree_Disease:C08.618.846,-subclass_of->
MeSH_Tree_Disease:C08.618.846.812,MeSH_Tree_Disease:C08.618.846,-subclass_of->
MeSH_Tree_Disease:C08.618.923,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.961,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.961.500,MeSH_Tree_Disease:C08.618.961,-subclass_of->
MeSH_Tree_Disease:C08.618.980,MeSH_Tree_Disease:C08.618,-subclass_of->
MeSH_Tree_Disease:C08.618.980.500,MeSH_Tree_Disease:C08.618.980,-subclass_of->
MeSH_Tree_Disease:C08.674,MeSH_Tree_Disease:C08,-subclass_of->
MeSH_Tree_Disease:C08.674.028,MeSH_Tree_Disease:C08.674,-subclass_of->
MeSH_Tree_Disease:C08.674.055,MeSH_Tree_Disease:C08.674,-subclass_of->
MeSH_Tree_Disease:C08.674.055.125,MeSH_Tree_Disease:C08.674.055,-subclass_of->
MeSH_Tree_Disease:C08.674.055.365,MeSH_Tree_Disease:C08.674.055,-subclass_of->
MeSH_Tree_Disease:C08.674.055.682,MeSH_Tree_Disease:C08.674.055,-subclass_of->
MeSH_Tree_Disease:C08.674.060,MeSH_Tree_Disease:C08.674,-subclass_of->
MeSH_Tree_Disease:C08.674.095,MeSH_Tree_Disease:C08.674,-subclass_of->
MeSH_Tree_Disease:C08.674.095.054,MeSH_Tree_Disease:C08.674.095,-subclass_of->
MeSH_Tree_Disease:C08.674.095.110,MeSH_Tree_Disease:C08.674.095,-subclass_of->
MeSH_Tree_Disease:C08.674.095.495,MeSH_Tree_Disease:C08.674.095,-subclass_of->
MeSH_Tree_Disease:C08.674.095.688,MeSH_Tree_Disease:C08.674.095,-subclass_of->
MeSH_Tree_Disease:C08.674.095.880,MeSH_Tree_Disease:C08.674.095,-subclass_of->
MeSH_Tree_Disease:C08.674.453,MeSH_Tree_Disease:C08.674,-subclass_of->
MeSH_Tree_Disease:C08.674.453.500,MeSH_Tree_Disease:C08.674.453,-subclass_of->
MeSH_Tree_Disease:C08.674.453.500.500,MeSH_Tree_Disease:C08.674.453.500,-subclass_of->
MeSH_Tree_Disease:C08.674.453.750,MeSH_Tree_Disease:C08.674.453,-subclass_of->
MeSH_Tree_Disease:C08.695,MeSH_Tree_Disease:C08,-subclass_of->
MeSH_Tree_Disease:C08.695.195,MeSH_Tree_Disease:C08.695,-subclass_of->
MeSH_Tree_Disease:C08.695.214,MeSH_Tree_Disease:C08.695,-subclass_of->
MeSH_Tree_Disease:C08.695.271,MeSH_Tree_Disease:C08.695,-subclass_of->
MeSH_Tree_Disease:C08.695.290,MeSH_Tree_Disease:C08.695,-subclass_of->
MeSH_Tree_Disease:C08.695.501,MeSH_Tree_Disease:C08.695,-subclass_of->
MeSH_Tree_Disease:C08.695.520,MeSH_Tree_Disease:C08.695,-subclass_of->
MeSH_Tree_Disease:C08.695.815,MeSH_Tree_Disease:C08.695,-subclass_of->
MeSH_Tree_Disease:C08.695.830,MeSH_Tree_Disease:C08.695,-subclass_of->
MeSH_Tree_Disease:C08.702,MeSH_Tree_Disease:C08,-subclass_of->
MeSH_Tree_Disease:C08.702.196,MeSH_Tree_Disease:C08.702,-subclass_of->
MeSH_Tree_Disease:C08.702.750,MeSH_Tree_Disease:C08.702,-subclass_of->
MeSH_Tree_Disease:C08.730,MeSH_Tree_Disease:C08,-subclass_of->
MeSH_Tree_Disease:C08.730.043,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.085,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.085.600,MeSH_Tree_Disease:C08.730.085,-subclass_of->
MeSH_Tree_Disease:C08.730.085.630,MeSH_Tree_Disease:C08.730.085,-subclass_of->
MeSH_Tree_Disease:C08.730.099,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.099.135,MeSH_Tree_Disease:C08.730.099,-subclass_of->
MeSH_Tree_Disease:C08.730.099.135.321,MeSH_Tree_Disease:C08.730.099.135,-subclass_of->
MeSH_Tree_Disease:C08.730.099.567,MeSH_Tree_Disease:C08.730.099,-subclass_of->
MeSH_Tree_Disease:C08.730.162,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.265,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.265.320,MeSH_Tree_Disease:C08.730.265,-subclass_of->
MeSH_Tree_Disease:C08.730.310,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.368,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.382,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.382.380,MeSH_Tree_Disease:C08.730.382,-subclass_of->
MeSH_Tree_Disease:C08.730.407,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.435,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.435.090,MeSH_Tree_Disease:C08.730.435,-subclass_of->
MeSH_Tree_Disease:C08.730.435.395,MeSH_Tree_Disease:C08.730.435,-subclass_of->
MeSH_Tree_Disease:C08.730.435.700,MeSH_Tree_Disease:C08.730.435,-subclass_of->
MeSH_Tree_Disease:C08.730.450,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.450.314,MeSH_Tree_Disease:C08.730.450,-subclass_of->
MeSH_Tree_Disease:C08.730.561,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.561.500,MeSH_Tree_Disease:C08.730.561,-subclass_of->
MeSH_Tree_Disease:C08.730.561.625,MeSH_Tree_Disease:C08.730.561,-subclass_of->
MeSH_Tree_Disease:C08.730.561.750,MeSH_Tree_Disease:C08.730.561,-subclass_of->
MeSH_Tree_Disease:C08.730.561.750.500,MeSH_Tree_Disease:C08.730.561.750,-subclass_of->
MeSH_Tree_Disease:C08.730.582,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.582.473,MeSH_Tree_Disease:C08.730.582,-subclass_of->
MeSH_Tree_Disease:C08.730.610,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.610.127,MeSH_Tree_Disease:C08.730.610,-subclass_of->
MeSH_Tree_Disease:C08.730.610.300,MeSH_Tree_Disease:C08.730.610,-subclass_of->
MeSH_Tree_Disease:C08.730.610.300.500,MeSH_Tree_Disease:C08.730.610.300,-subclass_of->
MeSH_Tree_Disease:C08.730.610.473,MeSH_Tree_Disease:C08.730.610,-subclass_of->
MeSH_Tree_Disease:C08.730.610.529,MeSH_Tree_Disease:C08.730.610,-subclass_of->
MeSH_Tree_Disease:C08.730.610.529.612,MeSH_Tree_Disease:C08.730.610.529,-subclass_of->
MeSH_Tree_Disease:C08.730.610.540,MeSH_Tree_Disease:C08.730.610,-subclass_of->
MeSH_Tree_Disease:C08.730.610.540.249,MeSH_Tree_Disease:C08.730.610.540,-subclass_of->
MeSH_Tree_Disease:C08.730.610.540.530,MeSH_Tree_Disease:C08.730.610.540,-subclass_of->
MeSH_Tree_Disease:C08.730.610.540.540,MeSH_Tree_Disease:C08.730.610.540,-subclass_of->
MeSH_Tree_Disease:C08.730.610.540.545,MeSH_Tree_Disease:C08.730.610.540,-subclass_of->
MeSH_Tree_Disease:C08.730.610.540.550,MeSH_Tree_Disease:C08.730.610.540,-subclass_of->
MeSH_Tree_Disease:C08.730.610.540.600,MeSH_Tree_Disease:C08.730.610.540,-subclass_of->
MeSH_Tree_Disease:C08.730.610.540.620,MeSH_Tree_Disease:C08.730.610.540,-subclass_of->
MeSH_Tree_Disease:C08.730.610.608,MeSH_Tree_Disease:C08.730.610,-subclass_of->
MeSH_Tree_Disease:C08.730.610.675,MeSH_Tree_Disease:C08.730.610,-subclass_of->
MeSH_Tree_Disease:C08.730.610.763,MeSH_Tree_Disease:C08.730.610,-subclass_of->
MeSH_Tree_Disease:C08.730.610.763.500,MeSH_Tree_Disease:C08.730.610.763,-subclass_of->
MeSH_Tree_Disease:C08.730.610.763.500.500,MeSH_Tree_Disease:C08.730.610.763.500,-subclass_of->
MeSH_Tree_Disease:C08.730.674,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.702,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.730,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.749,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.749.134,MeSH_Tree_Disease:C08.730.749,-subclass_of->
MeSH_Tree_Disease:C08.730.749.267,MeSH_Tree_Disease:C08.730.749,-subclass_of->
MeSH_Tree_Disease:C08.730.749.387,MeSH_Tree_Disease:C08.730.749,-subclass_of->
MeSH_Tree_Disease:C08.730.749.578,MeSH_Tree_Disease:C08.730.749,-subclass_of->
MeSH_Tree_Disease:C08.730.749.827,MeSH_Tree_Disease:C08.730.749,-subclass_of->
MeSH_Tree_Disease:C08.730.798,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.798.200,MeSH_Tree_Disease:C08.730.798,-subclass_of->
MeSH_Tree_Disease:C08.730.848,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.860,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.912,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.912.405,MeSH_Tree_Disease:C08.730.912,-subclass_of->
MeSH_Tree_Disease:C08.730.939,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.730.939.669,MeSH_Tree_Disease:C08.730.939,-subclass_of->
MeSH_Tree_Disease:C08.730.969,MeSH_Tree_Disease:C08.730,-subclass_of->
MeSH_Tree_Disease:C08.785,MeSH_Tree_Disease:C08,-subclass_of->
MeSH_Tree_Disease:C08.785.481,MeSH_Tree_Disease:C08.785,-subclass_of->
MeSH_Tree_Disease:C08.785.520,MeSH_Tree_Disease:C08.785,-subclass_of->
MeSH_Tree_Disease:C08.785.520.100,MeSH_Tree_Disease:C08.785.520,-subclass_of->
MeSH_Tree_Disease:C08.785.520.100.220,MeSH_Tree_Disease:C08.785.520.100,-subclass_of->
MeSH_Tree_Disease:C08.785.520.100.220.500,MeSH_Tree_Disease:C08.785.520.100.220,-subclass_of->
MeSH_Tree_Disease:C08.785.520.100.220.750,MeSH_Tree_Disease:C08.785.520.100.220,-subclass_of->
MeSH_Tree_Disease:C08.785.520.124,MeSH_Tree_Disease:C08.785.520,-subclass_of->
MeSH_Tree_Disease:C08.785.520.148,MeSH_Tree_Disease:C08.785.520,-subclass_of->
